suburb,Year,House price,Vacant Price,Unit price
MOE,2015,162500,122000,126000
MOE,2016,173000,129000,137000
MOE,2017,175000,121500,135000
MOE,2018,200000,124000,133500
MOE,2019,210000,129000,163000
MOOROOLBARK,2015,558500,321000,410500
MOOROOLBARK,2016,620000,325000,495000
MOOROOLBARK,2017,726000,372500,596500
MOOROOLBARK,2018,720000,400000,569000
MOOROOLBARK,2019,670000,353500,568500
MOOROOPNA,2015,230000,100000,165000
MOOROOPNA,2016,215500,106000,167000
MOOROOPNA,2017,225000,105000,161500
MOOROOPNA,2018,230000,105000,164000
MOOROOPNA,2019,249000,110000,175000
MORNINGTON,2015,641000,295000,485000
MORNINGTON,2016,745000,434500,587000
MORNINGTON,2017,800000,840000,600000
MORNINGTON,2018,850000,820000,670000
MORNINGTON,2019,800000,765000,643000
MORWELL,2015,150000,110000,180000
MORWELL,2016,153000,96000,155000
MORWELL,2017,170000,107000,165000
MORWELL,2018,167000,119000,150000
MORWELL,2019,180000,129000,175500
MOUNT CLEAR,2015,322500,148000,215000
MOUNT CLEAR,2016,345000,140000,227500
MOUNT CLEAR,2017,345000,178000,263000
MOUNT CLEAR,2018,379000,145000,270000
MOUNT CLEAR,2019,396500,160000,275500
MOUNT ELIZA,2015,832000,440000,445000
MOUNT ELIZA,2016,950000,561000,500000
MOUNT ELIZA,2017,1137500,607500,590000
MOUNT ELIZA,2018,1220000,735000,535000
MOUNT ELIZA,2019,1157500,850000,595000
MOUNT MARTHA,2015,780000,534500,510000
MOUNT MARTHA,2016,965000,670000,550000
MOUNT MARTHA,2017,1050000,870000,631500
MOUNT MARTHA,2018,1202500,1065000,570000
MOUNT MARTHA,2019,1252500,915000,650000
MOUNT PLEASANT,2015,293500,137000,264500
MOUNT PLEASANT,2016,297500,109000,255000
MOUNT PLEASANT,2017,293000,100000,266500
MOUNT PLEASANT,2018,350000,110000,275000
MOUNT PLEASANT,2019,377500,126500,245000
MULGRAVE,2015,765500,516500,600000
MULGRAVE,2016,786000,660000,614500
MULGRAVE,2017,900500,706000,665000
MULGRAVE,2018,860000,740500,750000
MULGRAVE,2019,840000,706500,731000
MYRTLEFORD,2015,242000,95000,185000
MYRTLEFORD,2016,270500,94000,265000
MYRTLEFORD,2017,265000,128000,229000
MYRTLEFORD,2018,295000,130000,241500
MYRTLEFORD,2019,315000,141500,310000
NAGAMBIE,2015,360500,115000,320000
NAGAMBIE,2016,336000,120000,262500
NAGAMBIE,2017,330000,125000,270000
NAGAMBIE,2018,385000,120000,340000
NAGAMBIE,2019,414000,210000,360000
NARRE WARREN,2015,430000,220000,319000
NARRE WARREN,2016,487500,445000,350000
NARRE WARREN,2017,590000,402500,420000
NARRE WARREN,2018,615500,455000,440000
NARRE WARREN,2019,590000,460000,418000
NEWBOROUGH,2015,220000,87500,156000
NEWBOROUGH,2016,224500,103500,161500
NEWBOROUGH,2017,220000,107500,135500
NEWBOROUGH,2018,250000,122000,165000
NEWBOROUGH,2019,256000,150000,203500
NORTH BENDIGO,2015,286000,116000,264500
NORTH BENDIGO,2016,279000,133000,240000
NORTH BENDIGO,2017,302000,115000,252500
NORTH BENDIGO,2018,310000,129500,266000
NORTH BENDIGO,2019,325000,145000,265000
NUMURKAH,2015,219000,83000,205000
NUMURKAH,2016,195000,85000,160000
NUMURKAH,2017,219000,112000,152500
NUMURKAH,2018,225000,97500,190000
NUMURKAH,2019,252500,107500,175000
OCEAN GROVE,2015,516500,219500,435000
OCEAN GROVE,2016,555000,225000,491500
OCEAN GROVE,2017,637000,244000,537500
OCEAN GROVE,2018,690000,326000,605000
OCEAN GROVE,2019,695000,350000,615000
OFFICER,2015,375000,211000,362000
OFFICER,2016,440000,232500,369000
OFFICER,2017,480000,272000,387000
